2	2	0	0	51.3207	0
8	2	0	0	51.3207	1
14	2	0	0	51.3207	2
20	2	0	0	51.3207	3
26	2	0	0	51.3207	4
32	2	0	0	51.3207	5
38	4	0	0	76.981	0
44	4	0	0	76.981	1
50	4	0	0	76.981	2
56	4	0	0	76.981	3
62	4	0	0	76.981	4
68	4	0	0	76.981	5
74	7	0	0	102.641	0
80	7	0	0	102.641	1
86	7	0	0	102.641	2
92	7	0	0	102.641	3
98	7	0	0	102.641	4
104	7	0	0	102.641	5
110	10	0	0	128.302	0
116	10	0	0	128.302	1
122	10	0	0	128.302	2
128	10	0	0	128.302	3
134	10	0	0	128.302	4
140	10	0	0	128.302	5
146	14	0	0	153.962	0
152	14	0	0	153.962	1
158	14	0	0	153.962	2
164	14	0	0	153.962	3
170	14	0	0	153.962	4
176	14	0	0	153.962	5
182	18	0	0	179.622	0
188	18	0	0	179.622	1
194	18	0	0	179.622	2
200	18	0	0	179.622	3
206	18	0	0	179.622	4
212	18	0	0	179.622	5
218	1	0	-22.2225	38.4905	0
224	1	0	-22.2225	38.4905	1
230	1	0	-22.2225	38.4905	2
236	1	0	-22.2225	38.4905	3
242	1	0	-22.2225	38.4905	4
248	1	0	-22.2225	38.4905	5
254	3	1	-22.2225	64.1508	0
257	3	1	-22.2225	64.1508	0
260	3	1	-22.2225	64.1508	1
263	3	1	-22.2225	64.1508	1
266	3	1	-22.2225	64.1508	2
269	3	1	-22.2225	64.1508	2
272	3	1	-22.2225	64.1508	3
275	3	1	-22.2225	64.1508	3
278	3	1	-22.2225	64.1508	4
281	3	1	-22.2225	64.1508	4
284	3	1	-22.2225	64.1508	5
287	3	1	-22.2225	64.1508	5
290	6	1	-22.2225	89.8112	0
293	6	1	-22.2225	89.8112	0
296	6	1	-22.2225	89.8112	1
299	6	1	-22.2225	89.8112	1
302	6	1	-22.2225	89.8112	2
305	6	1	-22.2225	89.8112	2
308	6	1	-22.2225	89.8112	3
311	6	1	-22.2225	89.8112	3
314	6	1	-22.2225	89.8112	4
317	6	1	-22.2225	89.8112	4
320	6	1	-22.2225	89.8112	5
323	6	1	-22.2225	89.8112	5
326	9	1	-22.2225	115.471	0
329	9	1	-22.2225	115.471	0
332	9	1	-22.2225	115.471	1
335	9	1	-22.2225	115.471	1
338	9	1	-22.2225	115.471	2
341	9	1	-22.2225	115.471	2
344	9	1	-22.2225	115.471	3
347	9	1	-22.2225	115.471	3
350	9	1	-22.2225	115.471	4
353	9	1	-22.2225	115.471	4
356	9	1	-22.2225	115.471	5
359	9	1	-22.2225	115.471	5
362	13	1	-22.2225	141.132	0
365	13	1	-22.2225	141.132	0
368	13	1	-22.2225	141.132	1
371	13	1	-22.2225	141.132	1
374	13	1	-22.2225	141.132	2
377	13	1	-22.2225	141.132	2
380	13	1	-22.2225	141.132	3
383	13	1	-22.2225	141.132	3
386	13	1	-22.2225	141.132	4
389	13	1	-22.2225	141.132	4
392	13	1	-22.2225	141.132	5
395	13	1	-22.2225	141.132	5
398	17	1	-22.2225	166.792	0
401	17	1	-22.2225	166.792	0
404	17	1	-22.2225	166.792	1
407	17	1	-22.2225	166.792	1
410	17	1	-22.2225	166.792	2
413	17	1	-22.2225	166.792	2
416	17	1	-22.2225	166.792	3
419	17	1	-22.2225	166.792	3
422	17	1	-22.2225	166.792	4
425	17	1	-22.2225	166.792	4
428	17	1	-22.2225	166.792	5
431	17	1	-22.2225	166.792	5
434	5	0	-44.445	76.981	0
440	5	0	-44.445	76.981	1
446	5	0	-44.445	76.981	2
452	5	0	-44.445	76.981	3
